entity,tier,layer,pc1,pc2,method
woodlouse,T5,5,5.029252529144287,10.855443000793457,pca_entity_mean
worker,T1,5,-16.170272827148438,1.5998928546905518,pca_entity_mean
zebrafish,T3,5,2.4244489669799805,-15.385921478271484,pca_entity_mean
ant,T5,6,3.4238345623016357,14.941764831542969,pca_entity_mean
aphid,T5,6,3.437290906906128,7.108242034912109,pca_entity_mean
bacterium,T6,6,-5.571643352508545,-5.055275917053223,pca_entity_mean
bee,T4,6,7.814189434051514,0.2796351909637451,pca_entity_mean
beetle,T5,6,7.248373508453369,-0.04429401457309723,pca_entity_mean
bumblebee,T4,6,6.998373031616211,9.53505802154541,pca_entity_mean
chicken,T3,6,5.326079368591309,-11.075849533081055,pca_entity_mean
child,T1,6,-21.32794189453125,1.1348050832748413,pca_entity_mean
chimpanzee,T2,6,4.03257942199707,8.506690979003906,pca_entity_mean
cloud,T6,6,0.3784659504890442,8.837207794189453,pca_entity_mean
cockroach,T5,6,5.747637748718262,7.361879825592041,pca_entity_mean
cow,T2,6,2.0137555599212646,-3.501481294631958,pca_entity_mean
crab,T4,6,8.425124168395996,-11.259300231933594,pca_entity_mean
crayfish,T4,6,6.313741683959961,6.639860153198242,pca_entity_mean
crow,T3,6,13.749693870544434,8.497932434082031,pca_entity_mean
dog,T2,6,-3.8322091102600098,-7.153206825256348,pca_entity_mean
dolphin,T2,6,1.3186798095703125,5.729737281799316,pca_entity_mean
earthworm,T5,6,1.0140539407730103,1.374328851699829,pca_entity_mean
elderly person,T1,6,-16.14312744140625,3.669734001159668,pca_entity_mean
elephant,T2,6,0.14289993047714233,-2.7492477893829346,pca_entity_mean
fly,T5,6,9.319265365600586,1.4565603733062744,pca_entity_mean
frog,T3,6,-0.09228389710187912,-10.887289047241211,pca_entity_mean
gecko,T3,6,4.450674057006836,7.175809860229492,pca_entity_mean
horse,T2,6,-1.9446192979812622,-7.160456657409668,pca_entity_mean
infant,T1,6,-17.714174270629883,-3.256438970565796,pca_entity_mean
lobster,T4,6,8.533743858337402,1.7468092441558838,pca_entity_mean
mantis shrimp,T4,6,7.174168109893799,3.7413101196289062,pca_entity_mean
mite,T5,6,0.5745316743850708,14.050394058227539,pca_entity_mean
moss,T6,6,8.174166679382324,1.3718018531799316,pca_entity_mean
moth,T5,6,5.64004373550415,-4.8453145027160645,pca_entity_mean
mushroom,T6,6,8.858522415161133,-2.6362900733947754,pca_entity_mean
mussel,T4,6,4.925052165985107,-0.1647498905658722,pca_entity_mean
nematode,T5,6,3.941213607788086,-0.41758954524993896,pca_entity_mean
oak tree,T6,6,2.3261449337005615,5.830024242401123,pca_entity_mean
octopus,T4,6,4.527695655822754,3.9890713691711426,pca_entity_mean
patient,T1,6,-20.308650970458984,3.319121837615967,pca_entity_mean
pig,T2,6,3.5265097618103027,-9.715645790100098,pca_entity_mean
pigeon,T3,6,3.4652557373046875,-7.204225540161133,pca_entity_mean
prisoner,T1,6,-20.499576568603516,-1.5847210884094238,pca_entity_mean
rabbit,T2,6,3.8466219902038574,-9.10389518737793,pca_entity_mean
